name,email,notes,ref_row,type,date_in,medium,high,amount,usd,iou,iouusd,crypto1,hash,amount,rate,current_value,perc_difference,crypto2,hash,amount,rate,current_value,perc_difference,crypto3,hash,amount,rate,current_value,perc_difference,cumold,cumcur,perc_difference,diff
j,j@ffrequencies.org,,,B,17/05/21,633.7,0,0,0,500,633.7,BTC,0.1005873016,211.2333333,2100,404.8638889,191.6666667,ETH,1.650260417,211.2333333,128,480.2257813,227.34375,ANS,352.0555556,211.2333333,0.6,7041.111111,3333.333333,633.7,7926.200781,1250.78125,7292.500781
k,k@gmail.com ,,,B,17/06/16,635,635,1000,1270,0,0,BTC,0.08141025641,211.6666667,2600,327.6762821,154.8076923,ETH,0.6047619048,211.6666667,350,175.9857143,83.14285714,ANS,705.5555556,846.6666667,1.2,14111.11111,1666.666667,1270,14614.77311,1150.769536,13344.77311
l,l@gmail.com,,,B,17/05/21,633.7,0,0,0,500,633.7,BTC,0.1005873016,211.2333333,2100,404.8638889,191.6666667,ETH,1.650260417,211.2333333,128,480.2257813,227.34375,ANS,352.0555556,211.2333333,0.6,7041.111111,3333.333333,633.7,7926.200781,1250.78125,7292.500781
m,m@gmail.com,,,B,17/06/12,634,0,0,0,500,634,BTC,0.08128205128,211.3333333,2600,327.1602564,154.8076923,ETH,0.6038095238,211.3333333,350,175.7085714,83.14285714,ANS,176.1111111,211.3333333,1.2,3522.222222,1666.666667,634,4025.09105,634.8724054,3391.09105
n,n@gibbs.media ,,,B,17/05/29,500,0,670AUD,500,0,0,BTC,0.07936507937,166.6666667,2100,319.4444444,191.6666667,ETH,1.302083333,166.6666667,128,378.90625,227.34375,ANS,277.7777778,166.6666667,0.6,5555.555556,3333.333333,500,6253.90625,1250.78125,5753.90625
e,e85@gmail.com,,7,S,17/06/17,,-1174.25293,,,,,BTC,,,,,,ETH,-3.30078125,,355.75,,,ANS,,,,,,,-1174.25293,,-1174.25293
e,e85@gmail.com,,,B,17/06/17,,1174.2529,0,0,1174.2529,1174.2529,BTC,0,0,0,0,,ETH,0,0,0,0,,ANS,362.4237346,1174.2529,3.24,7248.474691,617.2839506,1174.2529,7248.474691,617.2839506,6074.221791
o,o@gmail.com,,,B,17/05/29,2535,0,0,0,2000,2535,BTC,0.4023809524,845,2100,1619.583333,191.6666667,ETH,6.6015625,845,128,1921.054688,227.34375,ANS,1408.333333,845,0.6,28166.66667,3333.333333,2535,31707.30469,1250.78125,29172.30469
p,p@c.h.sch.uk,,,B,17/06/12,634,0,0,0,ge,634,BTC,0.08128205128,211.3333333,2600,327.1602564,154.8076923,ETH,0.6038095238,211.3333333,350,175.7085714,83.14285714,ANS,176.1111111,211.3333333,1.2,3522.222222,1666.666667,634,4025.09105,634.8724054,3391.09105
q,q@hotmail.com,,,B,17/06/12,634,0,0,0,500,634,BTC,0.08128205128,211.3333333,2600,327.1602564,154.8076923,ETH,0.6038095238,211.3333333,350,175.7085714,83.14285714,ANS,176.1111111,211.3333333,1.2,3522.222222,1666.666667,634,4025.09105,634.8724054,3391.09105
r,r@hotmail.com,,,B,17/06/12,634,0,0,0,500,634,BTC,0.08128205128,211.3333333,2600,327.1602564,154.8076923,ETH,0.6038095238,211.3333333,350,175.7085714,83.14285714,ANS,176.1111111,211.3333333,1.2,3522.222222,1666.666667,634,4025.09105,634.8724054,3391.09105
d,d@hotmail.com,,,B,17/06/17,1917,0,1500,1917,0,0,BTC,0.2509819324,639,2546,1010.202278,158.0911233,ETH,1.8,639,355,523.8,81.97183099,ANS,196.6153846,639,3.25,3932.307692,615.3846154,1917,5466.30997,285.1491899,3549.30997
c,c@gmail.com,,,B,17/06/17,0,385,0,0,300,385,BTC,0,0,0,0,,ETH,0,0,0,0,,ANS,118.8271605,385,3.24,2376.54321,617.2839506,385,2376.54321,617.2839506,1991.54321
s,s@gmail.com,,,B,17/06/18,0,385,0,0,300,385,BTC,0,0,0,0,,ETH,0,0,0,0,,ANS,118.8271605,385,3.24,2376.54321,617.2839506,385,2376.54321,617.2839506,1991.54321
t,t@gmail.com,,,B,17/06/18,0,2535,0,0,2000,2535,BTC,0,0,0,0,,ETH,0,0,0,0,,ANS,782.4074074,2535,3.24,15648.14815,617.2839506,2535,15648.14815,617.2839506,13113.14815
u,u@gmail.com,,,B,17/06/18,0,1276.5,0,0,1000,1276.5,BTC,0,0,0,0,,ETH,0,0,0,0,,ANS,393.9814815,1276.5,3.24,7879.62963,617.2839506,1276.5,7879.62963,617.2839506,6603.12963
v,v@cproof.com,,,B,17/05/30,2535,0,2000,2535,0,0,BTC,0.4023809524,845,2100,1619.583333,191.6666667,ETH,6.6015625,845,128,1921.054688,227.34375,ANS,1408.333333,845,0.6,28166.66667,3333.333333,2535,31707.30469,1250.78125,29172.30469
w,w@yahoo.com,,,B,17/05/21,634,0,0,0,500,634,BTC,0.1006349206,211.3333333,2100,405.0555556,191.6666667,ETH,1.651041667,211.3333333,128,480.453125,227.34375,ANS,352.2222222,211.3333333,0.6,7044.444444,3333.333333,634,7929.953125,1250.78125,7295.953125
x,x@gmail.com,,,B,17/05/21,634,0,0,0,500,634,BTC, ,211.3333333,2100,#VALUE!,191.6666667,ETH,1.651041667,211.3333333,128,480.453125,227.34375,ANS,352.2222222,211.3333333,0.6,7044.444444,3333.333333,634,,,-634
y,y@cantab.net,,,B,17/05/21,634,0,0,0,500,634,BTC,0.1006349206,211.3333333,2100,405.0555556,191.6666667,ETH,1.651041667,211.3333333,128,480.453125,227.34375,ANS,352.2222222,211.3333333,0.6,7044.444444,3333.333333,634,7929.953125,1250.78125,7295.953125
b,b@gmail.com,,,B,17/06/12,0,1268,0,0,1000,1268,BTC,0,0,0,0,,ETH,0,0,0,0,,ANS,1056.666667,1268,1.2,25360,1666.666667,1268,25360,2000,24092
e,e85@gmail.com,,,B,17/06/18,0,1276.5,0,0,1000,1276.5,BTC,0,0,0,0,,ETH,0,0,0,0,,ANS,393.9814815,1276.5,3.24,7879.62963,617.2839506,1276.5,7879.62963,617.2839506,6603.12963
z,z@fastmail.com,,,B,17/05/30,2535,0,0,0,2000,2535,BTC,0.4023809524,845,2100,1619.583333,191.6666667,ETH,6.6015625,845,128,1921.054688,227.34375,ANS,1408.333333,845,0.6,28166.66667,3333.333333,2535,31707.30469,1250.78125,29172.30469
aa,aa@gmail.com,,,B,17/05/30,2535,0,0,0,2000,2535,BTC,0.4023809524,845,2100,1619.583333,191.6666667,ETH,6.6015625,845,128,1921.054688,227.34375,ANS,1408.333333,845,0.6,28166.66667,3333.333333,2535,31707.30469,1250.78125,29172.30469
bb,bbe@gmail.com ,,,B,17/06/16,635,635,1000,1270,0,0,BTC,0.08141025641,211.6666667,2600,327.6762821,154.8076923,ETH,0.6047619048,211.6666667,350,175.9857143,83.14285714,ANS,705.5555556,846.6666667,1.2,14111.11111,1666.666667,1270,7879.62963,617.2839506,6603.12963
j,j@ffrequencies.org,,,B,17/06/18,0,1276.5,1000,1276.5,,,BTC,0,0,0,0,,ETH,0,0,0,0,,ANS,393.9814815,1276.5,3.24,7879.62963,617.2839506,1276.5,7926.200781,1250.78125,7292.500781
cc,cc@yahoo.com ,,,B,17/05/21,633.7,0,0,0,500,633.7,BTC,0.1005873016,211.2333333,2100,404.8638889,191.6666667,ETH,1.650260417,211.2333333,128,480.2257813,227.34375,ANS,352.0555556,211.2333333,0.6,7041.111111,3333.333333,633.7,7926.200781,1250.78125,7292.500781
k,k@gmail.com ,,13,S,17/06/23,-500,-500,,,,,BTC,,,,,,ETH,,,,,,ANS,-125,,8,,,,-1000,,
dd,dd@gmail.com,,,B,17/05/29,377,0,0,0,500AUD,377,BTC,0.04833333333,125.6666667,2600,194.5416667,154.8076923,ETH,0.3927083333,125.6666667,320,114.278125,90.9375,ANS,25.13333333,125.6666667,5,502.6666667,400,377,811.4864583,215.2483974,434.4864583
ee,ee24@yahoo.co.uk,,,B,17/05/21,633.7,0,0,0,500,633.7,BTC,0.1005873016,211.2333333,2100,404.8638889,191.6666667,ETH,1.650260417,211.2333333,128,480.2257813,227.34375,ANS,352.0555556,211.2333333,0.6,7041.111111,3333.333333,633.7,7926.200781,1250.78125,7292.500781
a,a@gmail.com,,2,S,17/06/23,,-1268,,,,,BTC,,,,,,ETH,,,,,,ANS,-130.0512821,,9.75,,,,-1268,,
b,b@gmail.com,,3,S,17/06/23,,-634,,,,,BTC,,,,,,ETH,,,,,,ANS,-65.02564103,,9.75,,,,-634,,
b,b@gmail.com,,4,S,17/06/23,,-634,,,,,BTC,,,,,,ETH,,,,,,ANS,-65.02564103,,9.75,,,,-634,,
c,c@gmail.com,,5,S,17/06/23,,-570.5,,,,,BTC,,,,,,ETH,,,,,,ANS,-58.51282051,,9.75,,,,-570.5,,
h,h@gmail.com,,10,S,17/06/23,,-6337,,,,,BTC,,,,,,ETH,,,,,,ANS,-649.9487179,,9.75,,,,-6337,,
i,i@gmail.com,,11,S,17/06/23,,-6337,,,,,BTC,,,,,,ETH,,,,,,ANS,-649.9487179,,9.75,,,,-6337,,
j,j@ffrequencies.org,,12,S,17/06/23,,-633.7,,,,,BTC,,,,,,ETH,,,,,,ANS,-64.99487179,,9.75,,,,-633.7,,
l,l@gmail.com,,14,S,17/06/23,,-633.7,,,,,BTC,,,,,,ETH,,,,,,ANS,-64.99487179,,9.75,,,,-633.7,,
m,m@gmail.com,,15,S,17/06/23,,-634,,,,,BTC,,,,,,ETH,,,,,,ANS,-65.02564103,,9.75,,,,-634,,
o,o@gmail.com,,19,S,17/06/23,,-2535,,,,,BTC,,,,,,ETH,,,,,,ANS,-260,,9.75,,,,-2535,,
p,p@c.h.sch.uk,,20,S,17/06/23,,-634,,,,,BTC,,,,,,ETH,,,,,,ANS,-65.02564103,,9.75,,,,-634,,
q,q@hotmail.com,,21,S,17/06/23,,-634,,,,,BTC,,,,,,ETH,,,,,,ANS,-65.02564103,,9.75,,,,-634,,
r,r@hotmail.com,,22,S,17/06/23,,-634,,,,,BTC,,,,,,ETH,,,,,,ANS,-65.02564103,,9.75,,,,-634,,
c,c@gmail.com,,24,S,17/06/23,,-385,,,,,BTC,,,,,,ETH,,,,,,ANS,-39.48717949,,9.75,,,,-385,,
t,t@gmail.com,,26,S,17/06/23,,-2535,,,,,BTC,,,,,,ETH,,,,,,ANS,-260,,9.75,,,,-2535,,
u,u@gmail.com,,27,S,17/06/23,,-1276.5,,,,,BTC,,,,,,ETH,,,,,,ANS,-130.9230769,,9.75,,,,-1276.5,,
w,w@yahoo.com,,29,S,17/06/23,,-634,,,,,BTC,,,,,,ETH,,,,,,ANS,-65.02564103,,9.75,,,,-634,,
x,x@gmail.com,,30,S,17/06/23,,-634,,,,,BTC,,,,,,ETH,,,,,,ANS,-65.02564103,,9.75,,,,-634,,
y,y@cantab.net,,31,S,17/06/23,,-634,,,,,BTC,,,,,,ETH,,,,,,ANS,-65.02564103,,9.75,,,,-634,,
b,b@gmail.com,,32,S,17/06/23,,-1268,,,,,BTC,,,,,,ETH,,,,,,ANS,-130.0512821,,9.75,,,,-1268,,
z,z@fastmail.com,,34,S,17/06/23,,-2535,,,,,BTC,,,,,,ETH,,,,,,ANS,-260,,9.75,,,,-2535,,
aa,aa@gmail.com,,35,S,17/06/23,,-2535,,,,,BTC,,,,,,ETH,,,,,,ANS,-260,,9.75,,,,-2535,,
j,j@ffrequencies.org,,37,S,17/06/23,,-1276.5,,,,,BTC,,,,,,ETH,,,,,,ANS,-130.9230769,,9.75,,,,-1276.5,,
cc,cc@yahoo.com ,,38,S,17/06/23,,-633.7,,,,,BTC,,,,,,ETH,,,,,,ANS,-64.99487179,,9.75,,,,-633.7,,
ee,ee24@yahoo.co.uk,,41,S,17/06/23,,-633.7,,,,,BTC,,,,,,ETH,,,,,,ANS,-64.99487179,,9.75,,,,-633.7,,
t,t@gmail.com,,,B,17/07/10,1986.5,0,1500,1986.5,,,BTC,0.2856629278,662.1666667,2318,1149.793284,173.6410699,ETH,3.253890254,662.1666667,203.5,946.8820639,142.997543,ANS,132.4333333,662.1666667,5,2648.666667,400,1986.5,4745.342015,238.8795376,2758.842015
t,t@gmail.com,,,B,17/07/10,0,1986.5,1500,1986.5,0,0,BTC,0,0,0,0,,ETH,0,0,0,0,,ANS,397.3,1986.5,5,7946,400,1986.5,7946,400,5959.5
k,k@gmail.com ,,,B,17/07/10,794,0,600,794,,,BTC,0.1141788898,264.6666667,2318,459.5700316,173.6410699,ETH,1.300573301,264.6666667,203.5,378.4668305,142.997543,ANS,52.93333333,264.6666667,5,1058.666667,400,794,1896.703529,238.8795376,1102.703529
ff,ff@gmail.com,,,B,17/05/24,330,0,0,0,250,330,BTC,0.05238095238,110,2100,210.8333333,191.6666667,ETH,0.859375,110,128,250.078125,227.34375,ANS,183.3333333,110,0.6,3666.666667,3333.333333,330,4127.578125,1250.78125,3797.578125
ff,ff@gmail.com,,70,S,17/06/23,,-253.5,,,,,BTC,,,,,,ETH,,,,,,ANS,-26,,9.75,,,,-253.5,,
aa,aa@gmail.com,,35,S,17/06/23,,-1314.41,,,,,BTC,,,,,,ETH,,,,,,ANS,-142.0983784,,9.25,,,,-1314.41,,
y,y@cantab.net,,31,S,17/08/05,,-385,,,,,BTC,,,,,,ETH,,,,,,ANS,-35,,11,,,,-385,,
j,j@ffrequencies.org,jonny wallet,12,S,17/08/05,,-16,,,,,BTC,,,,,,ETH,,,,,,ANS,-1,,16,,,,-16,,
e,e85@gmail.com,,7,S,17/08/05,,-1575.2,1211.06,,,,BTC,,,,,,ETH,,,,,,ANS,95.74,,16,,,,-1575.2,,
j,j@ffrequencies.org,j bittrex,12,S,17/08/05,,-16,,,,,BTC,,,,,,ETH,,,,,,ANS,-1,,16,,,,-16,,
r,r@hotmail.com,,22,S,17/08/05,,-177.7367521,137,-177.7367521,,,BTC,,,,,,ETH,,,,,,ANS,-11.10854701,,16,,,,-177.7367521,,
ee,ee24@yahoo.co.uk,,41,S,17/08/05,,-459.297094,356,-459.297094,,,BTC,,,,,,ETH,,,,,,ANS,-28.70606838,,16,,,,-459.297094,,
x,x@gmail.com,,30,S,17/08/05,,-459.5145299,354.5,-459.5145299,,,BTC,,,,,,ETH,,,,,,ANS,-28.71965812,,16,,,,-459.5145299,,
j,j@ffrequencies.org,,12,S,17/08/05,,-876.9905413,676,-876.9905413,,,BTC,,,,,,ETH,,,,,,ANS,-54.81190883,,16,,,,-876.9905413,,
k,k@gmail.com,,13,S,17/08/05,,-1013.582222,780,-1013.582222,,,BTC,,,,,,ETH,,,,,,ANS,-63.34888889,,16,,,,-1013.582222,,
aa,aa@gmail.com,,35,S,17/06/23,,-600,462,,,,BTC,,,,,,ETH,,,,,,ANS,-37.5,,16,,,,-600,,
b,b@gmail.com,,4,S,17/08/05,,-2119.835897,1632.5,-2119.835897,,,BTC,,,,,,ETH,,,,,,ANS,-132.4897436,,16,,,,-2119.835897,,
z,z@fastmail.com,,34,S,17/08/05,,-1879.821667,1447,-1879.821667,,,BTC,,,,,,ETH,,,,,,ANS,-114.8333333,,16.37,,,,-1879.821667,,
t,t@gmail.com,to take out for 10% towards htina stuff,26,S,17/08/05,,-1683.425185,1447,-1683.425185,,,BTC,,,,,,ETH,,,,,,ANS,-105.2140741,,16,,,,-1683.425185,,
u,u@gmail.com,,27,S,17/08/05,,-420.8934473,323.75,-420.8934473,,,BTC,,,,,,ETH,,,,,,ANS,-26.30584046,,16,,,,-420.8934473,,
w,w@yahoo.com,,29,S,17/08/05,,-459.5145299,582.75AUD,-459.5145299,,,BTC,,,,,,ETH,,,,,,ANS,-28.71965812,,16,,,,-459.5145299,,
aa,aa@gmail.com,,35,S,17/06/23,,-1300,1002.75,,,,BTC,,,,,,ETH,,,,,,ANS,-44.82758621,,29,,,,-1300,,
a,a@gmail.com,,15,S,17/08/12,,-3716.188291,2857,-3716.188291,,,BTC,,,,,,ETH,,,,,,ANS,-110.2726496,,33.7,,,,-3716.188291,,
bb,bbe@gmail.com ,,36,S,17/08/12,,-666.3972222,565EUR,-666.3972222,,,BTC,,,,,,ETH,,,,,,ANS,-35.27777778,,18.89,,,,-666.3972222,,
bb,bbe@gmail.com ,,36,S,17/08/12,,-1307.041667,1108EUR,-1307.041667,,,BTC,,,,,,ETH,,,,,,ANS,-33.51388889,,39,,,,-1307.041667,,
o,o@gmail.com,,19,S,17/08/12,,-5507.406667,4682EUR,-5507.406667,,,BTC,,,,,,ETH,,,,,,ANS,-114.8333333,,47.96,,,,-5507.406667,,
j,j@ffrequencies.org,j kraken,12,S,17/08/15,,-282.66,,,,,BTC,,,,,,ETH,-1,,282.66,,,ANS,,,,,,,-282.66,,
j,j@ffrequencies.org,j wallet,12,S,17/08/05,,-41.17,,,,,BTC,,,,,,ETH,,,,,,ANS,-1,,41.17,,,,-41.17,,
gg,gg@gmail.com,,,B,17/06/12,2536,0,1000,1268,1000,1268,BTC,0.3251282051,845.3333333,2600,1308.641026,154.8076923,ETH,2.415238095,845.3333333,350,702.8342857,83.14285714,ANS,704.4444444,845.3333333,1.2,14088.88889,1666.666667,2536,16100.3642,634.8724054,13564.3642
gg,gg@gmail.com,,95,S,17/08/05,,-1268,,,,,BTC,,,,,,ETH,,,,,,ANS,-130.0512821,,9.75,,,,-1268,,
gg,gg@gmail.com,,95,S,17/08/05,,-919.0290598,,,,,BTC,,,,,,ETH,,,,,,ANS,-57.43931624,,16,,,,-919.0290598,,
gg,gg@gmail.com,,95,S,17/08/05,,-348.9709402,,,,,BTC,,,,,,ETH,,,,,,ANS,-7.51121266,,46.46,,,,-348.9709402,,
gg,gg@gmail.com,,95,S,17/08/05,,-2366.870475,1839.7,,,,BTC,,,,,,ETH,,,,,,ANS,-50.94426335,,46.46,,,,-2366.870475,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median,,,,,,,,,,,,,,,,,191.6666667,,,,,,227.34375,,,,,,3333.333333,,,1250.78125,
Min,,,,,,,,,,,,,,,,,154.8076923,,,,,,81.97183099,,,,,,615.3846154,,,285.1491899,
Max,,,,,,,,,,,,,,,,,191.6666667,,,,,,227.34375,,,,,,8000,,,8175.695464,
,,,,,,sum:,sum:,,sum:,,sum:,,sum:,,,,average:,,sum:,,,,average:,,sum:,,,,average:,sum:,sum:,average:,sum:
,,,,,,47610.8,-56804.25622,,-4302.645712,,45069.5529,BTC,4.862995911,,,,179.504318,ETH,65.1108698,,,,178.7353341,ANS,14068.55703,,,,2314.799355,61514.5529,559970.797,1131.375248,568626.3003
